SRA acc,Biosample acc,Bioproject acc,Taxonomia acc,Instrumento,Amostras,Bases,Tamanho,Organismo,Estratégia,Recurso,Seleção,Protocolo,Criação
SRR36825011,SAMN54568560,PRJNA1401450,7160,Illumina NovaSeq 6000,23594303,7.1,2176.42,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825012,SAMN54568580,PRJNA1401450,7160,Illumina NovaSeq 6000,26279094,7.9,2403.45,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825013,SAMN54568579,PRJNA1401450,7160,Illumina NovaSeq 6000,26472468,7.9,2239.8,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825014,SAMN54568578,PRJNA1401450,7160,Illumina NovaSeq 6000,24490494,7.3,2084.21,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825015,SAMN54568577,PRJNA1401450,7160,Illumina NovaSeq 6000,24032981,7.2,2017.81,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825016,SAMN54568559,PRJNA1401450,7160,Illumina NovaSeq 6000,28387462,8.5,2459.25,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825017,SAMN54568576,PRJNA1401450,7160,Illumina NovaSeq 6000,24663034,7.4,2351.15,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825018,SAMN54568575,PRJNA1401450,7160,Illumina NovaSeq 6000,25376717,7.6,2375.7,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825019,SAMN54568574,PRJNA1401450,7160,Illumina NovaSeq 6000,23577901,7.1,2254.21,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825020,SAMN54568573,PRJNA1401450,7160,Illumina NovaSeq 6000,23774022,7.1,2258.11,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825021,SAMN54568572,PRJNA1401450,7160,Illumina NovaSeq 6000,27915991,8.4,2476.27,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825022,SAMN54568571,PRJNA1401450,7160,Illumina NovaSeq 6000,23871043,7.2,2020.05,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825023,SAMN54568570,PRJNA1401450,7160,Illumina NovaSeq 6000,24133276,7.2,2096.46,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825024,SAMN54568569,PRJNA1401450,7160,Illumina NovaSeq 6000,23890877,7.2,2029.5,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825025,SAMN54568568,PRJNA1401450,7160,Illumina NovaSeq 6000,23983713,7.2,2058.94,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825026,SAMN54568567,PRJNA1401450,7160,Illumina NovaSeq 6000,24085911,7.2,2210.1,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825027,SAMN54568558,PRJNA1401450,7160,Illumina NovaSeq 6000,31534148,9.5,2796.21,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825028,SAMN54568557,PRJNA1401450,7160,Illumina NovaSeq 6000,23548338,7.1,2024.35,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
ERR16091965,SAMEA117710582,PRJEB85931,7160,Illumina NovaSeq 6000,19173321,5.6,1832.21,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091952,SAMEA117710595,PRJEB85931,7160,Illumina NovaSeq 6000,19385970,5.4,1778.79,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091964,SAMEA117710583,PRJEB85931,7160,Illumina NovaSeq 6000,19492199,5.4,1792.45,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091956,SAMEA117710591,PRJEB85931,7160,Illumina NovaSeq 6000,18633912,5.1,1717.03,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091962,SAMEA117710585,PRJEB85931,7160,Illumina NovaSeq 6000,20365858,5.7,2036.0,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091973,SAMEA117710574,PRJEB85931,7160,Illumina NovaSeq 6000,20985687,5.8,1913.32,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091944,SAMEA117710603,PRJEB85931,7160,Illumina NovaSeq 6000,19879865,5.8,1911.58,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091947,SAMEA117710600,PRJEB85931,7160,Illumina NovaSeq 6000,25200529,6.9,2319.75,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091967,SAMEA117710580,PRJEB85931,7160,Illumina NovaSeq 6000,27597042,7.7,2620.34,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091957,SAMEA117710590,PRJEB85931,7160,Illumina NovaSeq 6000,19079793,5.3,1743.27,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091971,SAMEA117710576,PRJEB85931,7160,Illumina NovaSeq 6000,18757754,5.2,1760.04,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091974,SAMEA117710573,PRJEB85931,7160,Illumina NovaSeq 6000,28124762,7.8,2559.21,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091943,SAMEA117710604,PRJEB85931,7160,Illumina NovaSeq 6000,26202669,7.2,2384.64,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091969,SAMEA117710578,PRJEB85931,7160,Illumina NovaSeq 6000,20214475,5.6,1853.21,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091958,SAMEA117710589,PRJEB85931,7160,Illumina NovaSeq 6000,20344563,5.6,1912.6,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091953,SAMEA117710594,PRJEB85931,7160,Illumina NovaSeq 6000,17780845,5.0,1670.14,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091948,SAMEA117710599,PRJEB85931,7160,Illumina NovaSeq 6000,17703356,5.1,1716.08,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091937,SAMEA117710610,PRJEB85931,7160,Illumina NovaSeq 6000,18997293,5.3,1786.91,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091942,SAMEA117710605,PRJEB85931,7160,Illumina NovaSeq 6000,22256777,6.1,2019.23,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091945,SAMEA117710602,PRJEB85931,7160,Illumina NovaSeq 6000,26195011,7.3,2445.78,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091955,SAMEA117710592,PRJEB85931,7160,Illumina NovaSeq 6000,27875705,7.8,2596.8,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091961,SAMEA117710586,PRJEB85931,7160,Illumina NovaSeq 6000,22965867,6.4,2117.28,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091938,SAMEA117710609,PRJEB85931,7160,Illumina NovaSeq 6000,30833011,8.6,2919.46,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091966,SAMEA117710581,PRJEB85931,7160,Illumina NovaSeq 6000,31543728,8.9,2913.27,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091946,SAMEA117710601,PRJEB85931,7160,Illumina NovaSeq 6000,24962232,7.0,2562.01,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091970,SAMEA117710577,PRJEB85931,7160,Illumina NovaSeq 6000,21149345,5.9,1964.05,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091935,SAMEA117710612,PRJEB85931,7160,Illumina NovaSeq 6000,27907208,7.9,2680.2,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091963,SAMEA117710584,PRJEB85931,7160,Illumina NovaSeq 6000,26374913,7.4,2495.09,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091954,SAMEA117710593,PRJEB85931,7160,Illumina NovaSeq 6000,20815543,5.7,1928.47,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091940,SAMEA117710607,PRJEB85931,7160,Illumina NovaSeq 6000,18664716,5.1,1700.0,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091972,SAMEA117710575,PRJEB85931,7160,Illumina NovaSeq 6000,25493051,7.1,2342.7,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091950,SAMEA117710597,PRJEB85931,7160,Illumina NovaSeq 6000,20246717,5.5,1894.63,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091936,SAMEA117710611,PRJEB85931,7160,Illumina NovaSeq 6000,17820331,4.9,1643.54,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091939,SAMEA117710608,PRJEB85931,7160,Illumina NovaSeq 6000,19010262,5.2,1708.91,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091968,SAMEA117710579,PRJEB85931,7160,Illumina NovaSeq 6000,30408250,8.6,2917.07,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091960,SAMEA117710587,PRJEB85931,7160,Illumina NovaSeq 6000,27800185,7.7,2549.73,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091941,SAMEA117710606,PRJEB85931,7160,Illumina NovaSeq 6000,29010116,8.2,2755.02,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091951,SAMEA117710596,PRJEB85931,7160,Illumina NovaSeq 6000,18708288,5.1,1704.48,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091949,SAMEA117710598,PRJEB85931,7160,Illumina NovaSeq 6000,20724594,5.7,1894.43,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
ERR16091959,SAMEA117710588,PRJEB85931,7160,Illumina NovaSeq 6000,31693459,8.9,2958.79,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
SRR36787951,SAMN54568566,PRJNA1401450,7160,Sequel II,23525,0.0,20.68,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787952,SAMN54568565,PRJNA1401450,7160,Sequel II,21544,0.0,18.9,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787953,SAMN54568564,PRJNA1401450,7160,Sequel II,18958,0.0,16.01,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787954,SAMN54568563,PRJNA1401450,7160,Sequel II,17974,0.0,15.06,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787955,SAMN54568562,PRJNA1401450,7160,Sequel II,18623,0.0,15.59,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787956,SAMN54568561,PRJNA1401450,7160,Sequel II,15142,0.0,12.81,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787957,SAMN54568560,PRJNA1401450,7160,Sequel II,22618,0.0,19.73,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787958,SAMN54568580,PRJNA1401450,7160,Sequel II,21272,0.0,18.13,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787959,SAMN54568579,PRJNA1401450,7160,Sequel II,12441,0.0,10.43,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787960,SAMN54568578,PRJNA1401450,7160,Sequel II,20462,0.0,17.37,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787961,SAMN54568577,PRJNA1401450,7160,Sequel II,17558,0.0,14.77,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787962,SAMN54568559,PRJNA1401450,7160,Sequel II,23187,0.0,20.25,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787963,SAMN54568576,PRJNA1401450,7160,Sequel II,18296,0.0,15.42,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787964,SAMN54568575,PRJNA1401450,7160,Sequel II,12588,0.0,10.76,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787965,SAMN54568574,PRJNA1401450,7160,Sequel II,11729,0.0,9.98,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787966,SAMN54568573,PRJNA1401450,7160,Sequel II,23947,0.0,20.13,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787967,SAMN54568572,PRJNA1401450,7160,Sequel II,21483,0.0,18.23,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787968,SAMN54568571,PRJNA1401450,7160,Sequel II,22158,0.0,18.6,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787969,SAMN54568570,PRJNA1401450,7160,Sequel II,23088,0.0,19.57,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787970,SAMN54568569,PRJNA1401450,7160,Sequel II,21158,0.0,17.58,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787971,SAMN54568568,PRJNA1401450,7160,Sequel II,23036,0.0,20.27,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787972,SAMN54568567,PRJNA1401450,7160,Sequel II,22155,0.0,19.46,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787973,SAMN54568558,PRJNA1401450,7160,Sequel II,22797,0.0,20.0,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36787974,SAMN54568557,PRJNA1401450,7160,Sequel II,19555,0.0,17.08,Aedes albopictus,AMPLICON,Metagenomic,Pcr,,2026/03/31
SRR36576909,SAMN54271167,PRJNA1392774,7160,NextSeq 1000,25661295,3.1,998.57,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576910,SAMN54271166,PRJNA1392774,7160,NextSeq 1000,23995508,2.9,948.21,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576911,SAMN54271165,PRJNA1392774,7160,NextSeq 1000,22793320,2.8,890.01,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576912,SAMN54271164,PRJNA1392774,7160,NextSeq 1000,19884744,2.4,780.32,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576913,SAMN54271163,PRJNA1392774,7160,NextSeq 1000,17909286,2.2,692.4,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576914,SAMN54271205,PRJNA1392774,7160,NextSeq 1000,13131616,1.6,550.37,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576915,SAMN54271204,PRJNA1392774,7160,NextSeq 1000,10217403,1.2,415.86,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576916,SAMN54271203,PRJNA1392774,7160,NextSeq 1000,12389383,1.5,515.58,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576917,SAMN54271202,PRJNA1392774,7160,NextSeq 1000,10825548,1.3,437.81,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576918,SAMN54271201,PRJNA1392774,7160,NextSeq 1000,15976172,1.9,688.21,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576919,SAMN54271200,PRJNA1392774,7160,NextSeq 1000,32807699,4.0,1331.14,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576920,SAMN54271199,PRJNA1392774,7160,NextSeq 1000,20173912,2.5,850.18,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576921,SAMN54271198,PRJNA1392774,7160,NextSeq 1000,16331030,2.0,664.26,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576922,SAMN54271162,PRJNA1392774,7160,NextSeq 1000,19381778,2.4,767.93,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576923,SAMN54271197,PRJNA1392774,7160,NextSeq 1000,43813494,5.3,1795.28,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576924,SAMN54271196,PRJNA1392774,7160,NextSeq 1000,21991676,2.7,892.32,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576925,SAMN54271180,PRJNA1392774,7160,NextSeq 1000,18245917,2.2,734.74,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576926,SAMN54271179,PRJNA1392774,7160,NextSeq 1000,16592958,2.0,674.41,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576927,SAMN54271178,PRJNA1392774,7160,NextSeq 1000,22984872,2.8,913.58,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576928,SAMN54271160,PRJNA1392774,7160,NextSeq 1000,19607060,2.4,775.1,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576929,SAMN54271177,PRJNA1392774,7160,NextSeq 1000,12489088,1.5,520.0,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576930,SAMN54271176,PRJNA1392774,7160,NextSeq 1000,24763344,3.0,992.0,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576931,SAMN54271175,PRJNA1392774,7160,NextSeq 1000,20386298,2.5,832.57,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576932,SAMN54271174,PRJNA1392774,7160,NextSeq 1000,25426993,3.1,1010.26,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576933,SAMN54271173,PRJNA1392774,7160,NextSeq 1000,13449809,1.6,553.56,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576934,SAMN54271172,PRJNA1392774,7160,NextSeq 1000,19241611,2.3,784.15,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
